GSLIS2.exe: 000025D4: 12:19:13 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00002434: 12:19:13 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 0000212C: 12:19:13 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 000025B0: 12:19:13 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00001ADC: 12:26:02 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00000EDC: 12:35:11 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00002588: 12:35:11 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 000024EC: 12:36:03 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 000026A0: 12:40:58 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 000022C8: 12:40:58 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00002578: 12:41:03 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00001BA8: 12:41:03 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 000008C4: 12:42:41 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
